*****RestoreLuaState
**Restoring ref list
Reading key:TASK_FormationFleeState, resolveRef:0
Reading key:CMD_Evacuate, resolveRef:0
Reading value:table, resolveRef:0
Reading key:NIS_OPENING_FULLSCREEN, resolveRef:0
Reading value:[4], resolveRef:0
Reading key:MAT_EntityType, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TACTIC_Vehicle, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GAMEOVER_PRESENTATION_TIME, resolveRef:0
Reading value:[20.000000], resolveRef:0
Reading key:AIWanderRadiusMode_Leash, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:TASK_SquadHold, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_MusicIntensityChange, resolveRef:0
Reading value:[1769728], resolveRef:0
Reading key:MIX_START_INTRO_CAM, resolveRef:0
Reading value:mix_set_game_flow_state_nis, resolveRef:0
Reading key:ARMY_STATUS_DISSOLVING_INTO_MODULE, resolveRef:0
Reading value:Dissolving into module, resolveRef:0
Reading key:__t_trainingWonderInterval, resolveRef:0
Reading value:[15], resolveRef:0
Reading key:GE_DistrictRatingChanged, resolveRef:0
Reading value:[9175040], resolveRef:0
Reading key:research_upgrades, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ObjectiveType_Bonus, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIMTT_INVALID, resolveRef:0
Reading value:[2147483647], resolveRef:0
Reading key:HPAT_Attack, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_MultiControlTerritoryController, resolveRef:0
Reading value:multi_control_territory_controller_ext, resolveRef:0
Reading key:OFFSET_FRONT_RIGHT, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:CMD_UnloadSquads, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_cannon_target, resolveRef:0
Reading value:table, resolveRef:0
Reading key:KPR_NetworkOutOfSync, resolveRef:0
Reading value:table, resolveRef:0
Reading key:WALLA_CAMP_SPEARWALL_MEDIUM, resolveRef:0
Reading value:sfx_campaign_scripted_medium_group_spearwall, resolveRef:0
Reading key:GE_SquadOwnerChange, resolveRef:0
Reading value:[4915200], resolveRef:0
Reading key:GE_CustomUIEvent, resolveRef:0
Reading value:[7077888], resolveRef:0
Reading key:COUNTER_TurnsDecreasing, resolveRef:0
Reading value:[4], resolveRef:0
Reading key:GE_ConstructionCancelled, resolveRef:0
Reading value:[917504], resolveRef:0
Reading key:OT_Information, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GOAL_FORMATION_DEFEND, resolveRef:0
Reading value:FormationDefend, resolveRef:0
Reading key:MAT_WeaponTypeAndDescendants, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_mon_caravan9, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIMET_NeutralClump, resolveRef:0
Reading value:table, resolveRef:0
Reading key:UIE_VehicleAttacked, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIMTT_hq, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:MUS_STINGER_ALERT, resolveRef:0
Reading value:mus_stinger_campaign_alert, resolveRef:0
Reading key:MUS_STING_WARN_OBJ_START, resolveRef:0
Reading value:sfx_ui_event_queue_campaign_objective_start, resolveRef:0
Reading key:OBJ_DebugComplete, resolveRef:0
Reading value:table, resolveRef:0
Reading key:COUNTER_TimerIncreasing, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:EXTID_OOCTarget, resolveRef:0
Reading value:ooc_target_ext, resolveRef:0
Reading key:HPAT_Critical, resolveRef:0
Reading value:table, resolveRef:0
Reading key:UI_DoNotCombine, resolveRef:0
Reading value:table, resolveRef:0
Reading key:t_rovingArmyModules, resolveRef:0
Reading value:table, resolveRef:0
Reading key:SCMD_Trade, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CE_ACHIEVCATTLEGARRISONMAL, resolveRef:0
Reading value:[9], resolveRef:0
Reading key:GAMEOVER_OBJECTIVE_TIME, resolveRef:0
Reading value:[6.500000], resolveRef:0
Reading key:SCMD_Patrol, resolveRef:0
Reading value:table, resolveRef:0
Reading key:debug_IsCampaignAutoTest, resolveRef:0
Reading value:[false], resolveRef:0
Reading key:OT_Ally, resolveRef:0
Reading value:table, resolveRef:0
Reading key:MUSIC_TENSE_COMBAT_RARE, resolveRef:0
Reading value:mus_combat_intensity_state_tens_comb_rare, resolveRef:0
Reading key:CE_RUSBOUNTY, resolveRef:0
Reading value:[67], resolveRef:0
Reading key:wave_ford1, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_retreat_s, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_ford3_attack2, resolveRef:0
Reading value:table, resolveRef:0
Reading key:KPR_UnusedPlayer, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_Casualty, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Crush, resolveRef:0
Reading value:crush_ext, resolveRef:0
Reading key:TP_Issued, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIEncounterNotification_SquadAdded_ID, resolveRef:0
Reading value:[7], resolveRef:0
Reading key:CMD_Taunted, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_WallCombatEnded, resolveRef:0
Reading value:[5832704], resolveRef:0
Reading key:GE_PlayerDebugEndMatch, resolveRef:0
Reading value:[5373952], resolveRef:0
Reading key:wave_ford2, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PBGTYPE_Entity, resolveRef:0
Reading value:[1245184], resolveRef:0
Reading key:attackMoveStyle_excludeTC, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TASK_SquadForwardBase, resolveRef:0
Reading value:table, resolveRef:0
Reading key:_TrainingForceGoalsActive, resolveRef:0
Reading value:[false], resolveRef:0
Reading key:ST_AISQUAD, resolveRef:0
Reading value:table, resolveRef:0
Reading key:MUSIC_COMBAT, resolveRef:0
Reading value:mus_combat_intensity_state_comb, resolveRef:0
Reading key:GE_PlayerObjectiveChanged, resolveRef:0
Reading value:[6356992], resolveRef:0
Reading key:AIEncounterStage_Idle, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:GE_PlayerCommandIssued, resolveRef:0
Reading value:[786688], resolveRef:0
Reading key:DEATHREASON_SYNC_KILL, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_rusfort, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TACTIC_CaptureTeamWeapon, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TASK_SquadGather, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ARMY_STATUS_DISSOLVED, resolveRef:0
Reading value:Dissolved, resolveRef:0
Reading key:ST_SQUAD, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CAM_OUTRO, resolveRef:0
Reading value:[false], resolveRef:0
Reading key:EXTID_SupplyRoad, resolveRef:0
Reading value:supply_road_ext, resolveRef:0
Reading key:_WorldBuilder_PrefabData_reference, resolveRef:0
Reading value:table, resolveRef:0
Reading key:R_NEUTRAL, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_PlayerPingOfShame, resolveRef:0
Reading value:[256], resolveRef:0
Reading key:evaluateFord, resolveRef:0
Reading value:[true], resolveRef:0
Reading key:TACTIC_Lua, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_BuildItemComplete, resolveRef:0
Reading value:[1638400], resolveRef:0
Reading key:GE_Garrison, resolveRef:0
Reading value:[1441792], resolveRef:0
Reading key:GE_BuildItemCancelled, resolveRef:0
Reading value:[7995392], resolveRef:0
Reading key:EXTID_Market, resolveRef:0
Reading value:market_ext, resolveRef:0
Reading key:SQUADEXTID_Health, resolveRef:0
Reading value:squad_health_ext, resolveRef:0
Reading key:EXTID_Sight, resolveRef:0
Reading value:sight_ext, resolveRef:0
Reading key:AIEncounterNotification_Cancelled, resolveRef:0
Reading value:[3], resolveRef:0
Reading key:CMD_ResolveOverlap, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_AideStation, resolveRef:0
Reading value:aide_station_ext, resolveRef:0
Reading key:DEFAULT_FULLSCREEN_HIDDEN_GAME_COMPONENT_FLAGS, resolveRef:0
Reading value:table, resolveRef:0
Reading key:FN_OnShow, resolveRef:0
Reading value:table, resolveRef:0
Reading key:__t_SquadMarkerProxDespawner, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CANPRODUCE_Ok, resolveRef:0
Reading value:table, resolveRef:0
Reading key:sg_mon_roaming, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_parade_mid02, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ST_PLAYER, resolveRef:0
Reading value:table, resolveRef:0
Reading key:eg_single, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ARMY_GENERAL_PARAMETERS_WITHOUT_DEFAULT, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TP_Cancelled, resolveRef:0
Reading value:table, resolveRef:0
Reading key:sg_single, resolveRef:0
Reading value:table, resolveRef:0
Reading key:HPAT_Bonus, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PCMD_AIPlayer_ResourceBonus, resolveRef:0
Reading value:table, resolveRef:0
Reading key:DST_CLOSEST_VISIBLE, resolveRef:0
Reading value:[3], resolveRef:0
Reading key:SCMD_Surprise, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CE_FRELANCERCHARGEENDS, resolveRef:0
Reading value:[47], resolveRef:0
Reading key:ECV_None, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PITEM_SquadUpgrade, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ANY_SQUAD, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_rusintropath_south_dest4, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_monsouthfallback, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Weapon, resolveRef:0
Reading value:weapon_ext, resolveRef:0
Reading key:BS_NearResources, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ST_AIENTITY, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ECAV_CanSeeExecutor, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIIslandDecision_Build, resolveRef:0
Reading value:table, resolveRef:0
Reading key:BS_NearSameBlueprint, resolveRef:0
Reading value:table, resolveRef:0
Reading key:KPR_NetworkDisconnected, resolveRef:0
Reading value:table, resolveRef:0
Reading key:attackMoveStyle_ignorePassive, resolveRef:0
Reading value:table, resolveRef:0
Reading key:__t_trainingInfiniteTimerDuration, resolveRef:0
Reading value:[99999], resolveRef:0
Reading key:_musicCurrentIntensity, resolveRef:0
Reading value:mus_combat_intensity_state_tens_comb, resolveRef:0
Reading key:LAV_None, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ST_SPLAT, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_rusintropath_south1, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIMTT_structure, resolveRef:0
Reading value:[5], resolveRef:0
Reading key:t_TypeToBlueprint_Civs, resolveRef:0
Reading value:table, resolveRef:0
Reading key:MUSIC_RARE, resolveRef:0
Reading value:mus_combat_intensity_state_rare, resolveRef:0
Reading key:attackMoveAtTarget_ignoreEverything, resolveRef:0
Reading value:table, resolveRef:0
Reading key:KICKED, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_SetupTeamWeapon, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_ChangeCombatSlot, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TFF_InEnemySectors, resolveRef:0
Reading value:[64], resolveRef:0
Reading key:AIMTT_squad, resolveRef:0
Reading value:[4], resolveRef:0
Reading key:eg_AllDeerAtStart, resolveRef:0
Reading value:table, resolveRef:0
Reading key:NIS_OPENING_BLEND, resolveRef:0
Reading value:[5], resolveRef:0
Reading key:CMD_RescueCasualty, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_PlayerNameChanged, resolveRef:0
Reading value:[6225920], resolveRef:0
Reading key:STT_Standard, resolveRef:0
Reading value:table, resolveRef:0
Reading key:__defaultEnemyPlayer, resolveRef:0
Reading value:table, resolveRef:0
Reading key:RT_Popcap, resolveRef:0
Reading value:[5], resolveRef:0
Reading key:SCARTYPE_CONSTPLAYER, resolveRef:0
Reading value:[1668312178], resolveRef:0
Reading key:CE_OTTOMANSARTGOLD, resolveRef:0
Reading value:[62], resolveRef:0
Reading key:DT_BONUS_DEFAULT, resolveRef:0
Reading value:BonusObjectiveDataTemplate, resolveRef:0
Reading key:SCMD_RescueCasualty, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TP_Facing, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIEncounterNotification_SquadAdded_Count, resolveRef:0
Reading value:[8], resolveRef:0
Reading key:RuleGroup, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_TerritoryEdgeDeoccupied, resolveRef:0
Reading value:[1179648], resolveRef:0
Reading key:GE_AIPlayer_EncounterNotification, resolveRef:0
Reading value:[6619136], resolveRef:0
Reading key:FEL_Dialog, resolveRef:0
Reading value:table, resolveRef:0
Reading key:SCMD_CancelProduction, resolveRef:0
Reading value:table, resolveRef:0
Reading key:IEF_None, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_ford2_farside_trigger2, resolveRef:0
Reading value:table, resolveRef:0
Reading key:MUT_MultiplicationAddition, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TEAM_NEUTRAL, resolveRef:0
Reading value:[10001], resolveRef:0
Reading key:ECAV_CanSeeTarget, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIEncounterNotification_SquadReleased_ID, resolveRef:0
Reading value:[5], resolveRef:0
Reading key:AIEncounterType_FormationPhase, resolveRef:0
Reading value:[8], resolveRef:0
Reading key:STINGER_COMBAT_THREAT, resolveRef:0
Reading value:mus_stinger_event_combat_threat, resolveRef:0
Reading key:MUSIC_TENSE_COMBAT, resolveRef:0
Reading value:mus_combat_intensity_state_tens_comb, resolveRef:0
Reading key:GE_InfluenceUpdate, resolveRef:0
Reading value:[9240576], resolveRef:0
Reading key:SQUADEXTID_Item, resolveRef:0
Reading value:squad_item_ext, resolveRef:0
Reading key:sg_waveManagerStagedUnits, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GOAL_DEFEND, resolveRef:0
Reading value:Defend, resolveRef:0
Reading key:__Objective_PresentationLock, resolveRef:0
Reading value:[true], resolveRef:0
Reading key:NISLET_VO, resolveRef:0
Reading value:[2], resolveRef:0
Reading key:FILTER_KEEP, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:ST_CONSTENTITY, resolveRef:0
Reading value:table, resolveRef:0
Reading key:Targeting_Automatic, resolveRef:0
Reading value:table, resolveRef:0
Reading key:VF_None, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PBG_UISelection, resolveRef:0
Reading value:[3604480], resolveRef:0
Reading key:SCARTYPE_PBG, resolveRef:0
Reading value:[1885497120], resolveRef:0
Reading key:AIFormationPhaseEncounter_EndReason_AtDestination, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:markerListScout, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_monfortnorth, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_DefaultCommandIssued, resolveRef:0
Reading value:[852224], resolveRef:0
Reading key:WALLA_CAMP_CHARGE_SMALL, resolveRef:0
Reading value:sfx_campaign_scripted_small_group_charge, resolveRef:0
Reading key:TASK_EntityAbility, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CE_ACHIEVPAYMONGOLTRIBUTEEARLY, resolveRef:0
Reading value:[24], resolveRef:0
Reading key:CMD_Halt, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Road, resolveRef:0
Reading value:road_ext, resolveRef:0
Reading key:GE_PlayerDropped, resolveRef:0
Reading value:[196864], resolveRef:0
Reading key:AIMET_AttackArea, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CE_EVENTCHALLENGECOMPLETED, resolveRef:0
Reading value:[44], resolveRef:0
Reading key:COUNT_DOWN, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:__t_trainingHoverInterval, resolveRef:0
Reading value:[3], resolveRef:0
Reading key:GE_PlayerDebug_DELETED, resolveRef:0
Reading value:[5308416], resolveRef:0
Reading key:eg_rus_fordtowers, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CANPRODUCE_PrerequisitesProducer, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AII_RemoteAITakeover, resolveRef:0
Reading value:table, resolveRef:0
Reading key:__stagRetreatID, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:VF_VisualDistricts, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TFF_NotVisible, resolveRef:0
Reading value:[16], resolveRef:0
Reading key:CE_ACHIEVFREGUILDHALLRESOURCES, resolveRef:0
Reading value:[16], resolveRef:0
Reading key:MAT_Player, resolveRef:0
Reading value:table, resolveRef:0
Reading key:Ai, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ST_CONSTPLAYER, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CANPRODUCE_Disabled, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PCMD_AIPlayer, resolveRef:0
Reading value:table, resolveRef:0
Reading key:HPAT_MovementLooping, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_monnorthfallback, resolveRef:0
Reading value:table, resolveRef:0
Reading key:attackMoveAtTarget_ignorePassive, resolveRef:0
Reading value:table, resolveRef:0
Reading key:value_stone, resolveRef:0
Reading value:[1.200000], resolveRef:0
Reading key:MM_Auto, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIFormationPhaseEncounter_EndReason_Invalid, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:UOT_Player, resolveRef:0
Reading value:table, resolveRef:0
Reading key:intro_river_pat_speed, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_PlayerDebugFogOfWar, resolveRef:0
Reading value:[5439488], resolveRef:0
Reading key:KPR_Endgame, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PBG_Tuning, resolveRef:0
Reading value:[3276800], resolveRef:0
Reading key:GE_ConstructionComplete, resolveRef:0
Reading value:[983040], resolveRef:0
Reading key:mkr_outro_cheer01, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CE_ACHIEVRUSHUNTINGCABINGOLD, resolveRef:0
Reading value:[27], resolveRef:0
Reading key:ECV_Queue, resolveRef:0
Reading value:table, resolveRef:0
Reading key:VF_VisualPathPreview, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PBG_Material, resolveRef:0
Reading value:[1900544], resolveRef:0
Reading key:MUSIC_TENSE, resolveRef:0
Reading value:mus_combat_intensity_state_tens, resolveRef:0
Reading key:GE_SquadMembersChanged, resolveRef:0
Reading value:[4521984], resolveRef:0
Reading key:mkr_parade_mid03, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PBG_Race, resolveRef:0
Reading value:[2228224], resolveRef:0
Reading key:TASK_SquadConstruction, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Mine, resolveRef:0
Reading value:mine_ext, resolveRef:0
Reading key:EXTID_Casualty, resolveRef:0
Reading value:casualty_ext, resolveRef:0
Reading key:g_audioTriggerCounter, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:INVALID, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_cat_southford_wall_end, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_Stop, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Cover, resolveRef:0
Reading value:cover_ext, resolveRef:0
Reading key:sg_rus_intro2, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Cost, resolveRef:0
Reading value:cost_ext, resolveRef:0
Reading key:GE_TerrainAreaDeformed, resolveRef:0
Reading value:[6946816], resolveRef:0
Reading key:GE_PlayerCheat, resolveRef:0
Reading value:[5242880], resolveRef:0
Reading key:PB_LEFT, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:PB_CENTER, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:AII_LocalHumanTakeover, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ARMY_COMBAT_ARENA_PARAMETERS_WITHOUT_DEFAULT, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_PlayerKicked, resolveRef:0
Reading value:[262400], resolveRef:0
Reading key:ST_CONSTSQUAD, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CANPRODUCE_PopulationCapFull, resolveRef:0
Reading value:table, resolveRef:0
Reading key:FN_OnActivate, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_StopAbility, resolveRef:0
Reading value:table, resolveRef:0
Reading key:LAH_Left, resolveRef:0
Reading value:table, resolveRef:0
Reading key:SCMD_BuildStructure, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EXTID_Projectile, resolveRef:0
Reading value:projectile_ext, resolveRef:0
Reading key:TASK_TownLifeEncounter, resolveRef:0
Reading value:table, resolveRef:0
Reading key:SCMD_Retreat, resolveRef:0
Reading value:table, resolveRef:0
Reading key:MUS_STINGER_WARNING, resolveRef:0
Reading value:mus_stinger_campaign_warning, resolveRef:0
Reading key:markerListIvan, resolveRef:0
Reading value:table, resolveRef:0
Reading key:sg_startingUnits, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_rusintrospawn4, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIEncounterNotification_Success, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:SCARTYPE_SQUAD, resolveRef:0
Reading value:[1936811040], resolveRef:0
Reading key:ITEM_REMOVED, resolveRef:0
Reading value:table, resolveRef:0
Reading key:KPR_Lost, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TFF_CausingSuppression, resolveRef:0
Reading value:[8], resolveRef:0
Reading key:HUDF_MiniMap, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AISniperReactionMode_Respond, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:FADE_OUT, resolveRef:0
Reading value:[true], resolveRef:0
Reading key:GE_PlannedStructureCancelled, resolveRef:0
Reading value:[1900544], resolveRef:0
Reading key:BS_Tower, resolveRef:0
Reading value:table, resolveRef:0
Reading key:sg_mon_ford2, resolveRef:0
Reading value:table, resolveRef:0
Reading key:BS_ForwardDefense, resolveRef:0
Reading value:table, resolveRef:0
Reading key:EVENT_INTEL, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:AITacticTargetPreference_Support, resolveRef:0
Reading value:table, resolveRef:0
Reading key:UIE_PlayerAttacked, resolveRef:0
Reading value:table, resolveRef:0
Reading key:WM_COOLDOWN, resolveRef:0
Reading value:cooldown_weapon_modifier, resolveRef:0
Reading key:TFF_InSectorProducingResources, resolveRef:0
Reading value:[2048], resolveRef:0
